Name,Ticker,Identifier,Weight,Market Value,Sector,Shares Held
Microsoft Corp,MSFT US,594918104,6.982760,2843408.88,Technology,23544
Amazon.com Inc,AMZN US,023135106,4.552323,1853724.8,Consumer Discretionary,995
Intel Corp,INTC US,458140100,4.420744,1800145.53,Technology,31743
Citigroup Inc,C US,172967424,3.900350,1588238.65,Financial Services,22915
Johnson & Johnson,JNJ US,478160104,3.578247,1457077.14,Health Care,10557
Starbucks Corp,SBUX US,855244109,3.460563,1409155.5,Consumer Discretionary,18615
Boeing Co,BA US,097023105,3.418759,1392132.84,Producer Durables,3647
Prudential Financial Inc,PRU US,744320102,3.345174,1362168.82,Financial Services,13094
Apple Inc,AAPL US,037833100,3.308730,1347328.5,Technology,6762
Tyson Foods Inc,TSN US,902494103,3.226917,1314014.1,Consumer Staples,18235
Eli Lilly & Co,LLY US,532457108,3.183091,1296167.8,Health Care,10805
MetLife Inc,MET US,59156R108,3.079226,1253873.74,Financial Services,27146
STORE Capital Corp REIT,STOR US,862121100,2.884504,1174582.22,Financial Services,36637
Tableau Software Inc,DATA US,87336U105,2.834070,1154045.2,Technology,9262
Union Pacific Corp,UNP US,907818108,2.765124,1125969.94,Producer Durables,6703
Walgreens Boots Alliance Inc,WBA US,931427108,2.694971,1097403.24,Consumer Staples,20011
Comcast Corp,CMCSA US,20030N101,2.669582,1087064.97,Consumer Discretionary,25901
EPR Properties REIT,EPR US,26884U109,2.661657,1083837.67,Financial Services,14023
Allison Transmission Holdings Inc,ALSN US,01973R101,2.609698,1062680.03,Producer Durables,22567
NRG Energy Inc,NRG US,629377508,2.585871,1052977.59,Utilities,25053
CVS Health Corp,CVS US,126650100,2.481334,1010409.4,Consumer Staples,18746
Valero Energy Corp,VLO US,91913Y100,2.403832,978850.56,Energy,11083
JPMorgan Chase & Co,JPM US,46625H100,2.346118,955348.9,Financial Services,8599
Alphabet Inc Class C,GOOG US,02079K107,2.263176,921574.63,Technology,751
Merck & Co Inc,MRK US,58933Y105,2.237256,911019.76,Health Care,11746
Philip Morris International Inc,PM US,718172109,2.206462,898480.62,Consumer Staples,10422
AES Corp/VA,AES US,00130H105,2.178066,886917.69,Utilities,49743
Exelon Corp,EXC US,30161N101,1.890169,769684.8,Utilities,15644
Exxon Mobil Corp,XOM US,30231G102,1.754197,714316.4,Energy,8797
Molson Coors Brewing Co,TAP US,60871R209,1.419963,578214.89,Consumer Staples,9713
Cummins Inc,CMI US,231021106,1.273849,518716.44,Producer Durables,3102
Cigna Corp,CI US,125523100,1.152076,469130.24,Health Care,3106
Discover Financial Services,DFS US,254709108,1.150459,468471.6,Financial Services,6088
DXC Technology Co,DXC US,23355L106,0.984330,400823.26,Technology,6074
US DOLLARS,CASH_USD,CASH_USD,0.878291,357643.9,,357643.9
Western Digital Corp,WDC US,958102105,0.732214,298160.68,Technology,5492
Molina Healthcare Inc,MOH US,60855R100,0.695894,283370.89,Health Care,2321
Wells Fargo & Co,WFC US,949746101,0.643479,262027.35,Financial Services,5499
Procter & Gamble Co,PG US,742718109,0.634280,258281.34,Consumer Staples,2427
VeriSign Inc,VRSN US,92343E102,0.626390,255068.8,Technology,1351
International Business Machines Corp,IBM US,459200101,0.572071,232949.7,Technology,1605
LyondellBasell Industries NV,LYB US,N53745100,0.499325,203327.02,Materials & Processing,2206
HCA Healthcare Inc,HCA US,40412C101,0.430044,175115.78,Health Care,1531
Bristol-Myers Squibb Co,BMY US,110122108,0.384363,156514.02,Health Care,3401
