Name,Identifier,Weight,Sector,Shares Held
NextEra Energy Inc.,NEE,11.646262,Electric Utilities,5237820
Duke Energy Corporation,DUK,8.32365,Electric Utilities,7963500
Dominion Energy Inc,D,7.716447,Multi-Utilities,8755498
Southern Company,SO,6.96534,Electric Utilities,11332167
Exelon Corporation,EXC,6.131483,Electric Utilities,10622322
American Electric Power Company Inc.,AEP,5.264877,Electric Utilities,5403407
Sempra Energy,SRE,4.481995,Multi-Utilities,3001680
Public Service Enterprise Group Inc,PEG,3.816216,Multi-Utilities,5536613
Xcel Energy Inc.,XEL,3.625369,Electric Utilities,5632685
Consolidated Edison Inc.,ED,3.450236,Multi-Utilities,3516881
WEC Energy Group Inc,WEC,3.099637,Multi-Utilities,3455378
PPL Corporation,PPL,2.901794,Electric Utilities,7897032
DTE Energy Company,DTE,2.871443,Multi-Utilities,1992900
Eversource Energy,ES,2.857676,Electric Utilities,3472197
Edison International,EIX,2.698143,Electric Utilities,3568851
FirstEnergy Corp.,FE,2.618795,Electric Utilities,5516896
American Water Works Company Inc.,AWK,2.379093,Water Utilities,1979911
Entergy Corporation,ETR,2.275234,Electric Utilities,2076561
Ameren Corporation,AEE,2.227479,Multi-Utilities,2679741
CMS Energy Corporation,CMS,1.968565,Multi-Utilities,3104368
CenterPoint Energy Inc.,CNP,1.941965,Multi-Utilities,5490011
Evergy Inc.,EVRG,1.867498,Electric Utilities,2789146
AES Corporation,AES,1.517539,Independent Power and Renewable Electricity Producers,7254501
NRG Energy Inc.,NRG,1.514378,Independent Power and Renewable Electricity Producers,3071100
Atmos Energy Corporation,ATO,1.504688,Gas Utilities,1280347
Alliant Energy Corp,LNT,1.398672,Electric Utilities,2586032
Pinnacle West Capital Corporation,PNW,1.361031,Electric Utilities,1231244
NiSource Inc,NI,1.321187,Multi-Utilities,4080134
